STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",18/06/2023,59,68,49,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",19/06/2023,60,70,47,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",20/06/2023,59,64,53,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",21/06/2023,61,73,53,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",22/06/2023,65,77,57,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",23/06/2023,65,78,57,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",24/06/2023,70,80,58,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",25/06/2023,68,79,59,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",26/06/2023,64,70,54,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",27/06/2023,62,74,53,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",28/06/2023,65,75,56,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",29/06/2023,64,67,54,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",30/06/2023,60,71,50,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",01/07/2023,63,75,51,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",02/07/2023,68,82,54,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",03/07/2023,71,75,57,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",04/07/2023,65,71,56,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",05/07/2023,62,76,48,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",06/07/2023,67,75,56,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",07/07/2023,67,74,57,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",08/07/2023,59,68,50,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",09/07/2023,61,77,47,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",10/07/2023,67,75,54,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",11/07/2023,68,74,60,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",12/07/2023,63,71,56,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",13/07/2023,63,74,51,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",14/07/2023,65,73,57,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",15/07/2023,61,66,54,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",16/07/2023,62,74,55,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",17/07/2023,67,79,54,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",18/07/2023,69,78,61,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",19/07/2023,68,75,62,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",20/07/2023,66,76,60,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",21/07/2023,67,81,54,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",22/07/2023,72,85,57,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",23/07/2023,73,87,62,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",24/07/2023,77,90,64,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",25/07/2023,74,86,62,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",26/07/2023,74,86,64,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",27/07/2023,75,82,64,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",28/07/2023,71,84,58,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",29/07/2023,72,75,63,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",30/07/2023,65,72,59,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",31/07/2023,67,78,58,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",01/08/2023,67,79,55,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",02/08/2023,67,81,54,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",03/08/2023,67,83,54,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",04/08/2023,70,79,59,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",05/08/2023,69,84,55,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",06/08/2023,69,81,54,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",07/08/2023,67,72,58,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",08/08/2023,63,66,56,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",09/08/2023,63,71,58,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",10/08/2023,63,71,54,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",11/08/2023,65,76,57,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",12/08/2023,63,73,53,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",13/08/2023,62,72,51,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",14/08/2023,62,73,53,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",15/08/2023,62,72,53,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",16/08/2023,62,72,51,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",17/08/2023,57,58,52,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",18/08/2023,55,,,
USW00026494,"FAIRBANKS 11 NE, AK US",01/01/2023,,30,15,
USW00026494,"FAIRBANKS 11 NE, AK US",02/01/2023,,32,22,
USW00026494,"FAIRBANKS 11 NE, AK US",03/01/2023,,28,15,
USW00026494,"FAIRBANKS 11 NE, AK US",04/01/2023,,30,17,
USW00026494,"FAIRBANKS 11 NE, AK US",05/01/2023,,27,8,
USW00026494,"FAIRBANKS 11 NE, AK US",06/01/2023,,8,3,
USW00026494,"FAIRBANKS 11 NE, AK US",07/01/2023,,11,2,
USW00026494,"FAIRBANKS 11 NE, AK US",08/01/2023,,7,3,
USW00026494,"FAIRBANKS 11 NE, AK US",09/01/2023,,8,-1,
USW00026494,"FAIRBANKS 11 NE, AK US",10/01/2023,,10,3,
USW00026494,"FAIRBANKS 11 NE, AK US",11/01/2023,,13,3,
USW00026494,"FAIRBANKS 11 NE, AK US",12/01/2023,,8,2,
USW00026494,"FAIRBANKS 11 NE, AK US",13/01/2023,,11,3,
USW00026494,"FAIRBANKS 11 NE, AK US",14/01/2023,,12,4,
USW00026494,"FAIRBANKS 11 NE, AK US",15/01/2023,,11,4,
USW00026494,"FAIRBANKS 11 NE, AK US",16/01/2023,,15,5,
USW00026494,"FAIRBANKS 11 NE, AK US",17/01/2023,,13,3,
USW00026494,"FAIRBANKS 11 NE, AK US",18/01/2023,,15,-2,
USW00026494,"FAIRBANKS 11 NE, AK US",19/01/2023,,17,9,
USW00026494,"FAIRBANKS 11 NE, AK US",20/01/2023,,18,-5,
USW00026494,"FAIRBANKS 11 NE, AK US",21/01/2023,,3,-10,
USW00026494,"FAIRBANKS 11 NE, AK US",22/01/2023,,-10,-20,
USW00026494,"FAIRBANKS 11 NE, AK US",23/01/2023,,-7,-12,
USW00026494,"FAIRBANKS 11 NE, AK US",24/01/2023,,1,-9,
USW00026494,"FAIRBANKS 11 NE, AK US",25/01/2023,,20,0,
USW00026494,"FAIRBANKS 11 NE, AK US",26/01/2023,,10,1,
USW00026494,"FAIRBANKS 11 NE, AK US",27/01/2023,,12,-1,
USW00026494,"FAIRBANKS 11 NE, AK US",28/01/2023,,21,6,
USW00026494,"FAIRBANKS 11 NE, AK US",29/01/2023,,31,18,
USW00026494,"FAIRBANKS 11 NE, AK US",30/01/2023,,26,19,
USW00026494,"FAIRBANKS 11 NE, AK US",31/01/2023,,20,11,
USW00026494,"FAIRBANKS 11 NE, AK US",01/02/2023,,13,5,
USW00026494,"FAIRBANKS 11 NE, AK US",02/02/2023,,8,5,
USW00026494,"FAIRBANKS 11 NE, AK US",03/02/2023,,11,6,
USW00026494,"FAIRBANKS 11 NE, AK US",04/02/2023,,13,4,
USW00026494,"FAIRBANKS 11 NE, AK US",05/02/2023,,16,1,
USW00026494,"FAIRBANKS 11 NE, AK US",06/02/2023,,19,4,
USW00026494,"FAIRBANKS 11 NE, AK US",07/02/2023,,9,0,
USW00026494,"FAIRBANKS 11 NE, AK US",08/02/2023,,5,-1,
USW00026494,"FAIRBANKS 11 NE, AK US",09/02/2023,,1,-12,
USW00026494,"FAIRBANKS 11 NE, AK US",10/02/2023,,12,-15,
USW00026494,"FAIRBANKS 11 NE, AK US",11/02/2023,,12,1,
USW00026494,"FAIRBANKS 11 NE, AK US",12/02/2023,,7,-2,
USW00026494,"FAIRBANKS 11 NE, AK US",13/02/2023,,0,-4,
USW00026494,"FAIRBANKS 11 NE, AK US",14/02/2023,,9,-5,
USW00026494,"FAIRBANKS 11 NE, AK US",15/02/2023,,9,-12,
USW00026494,"FAIRBANKS 11 NE, AK US",16/02/2023,,2,-12,
USW00026494,"FAIRBANKS 11 NE, AK US",17/02/2023,,14,0,
USW00026494,"FAIRBANKS 11 NE, AK US",18/02/2023,,22,8,
USW00026494,"FAIRBANKS 11 NE, AK US",19/02/2023,,9,-1,
USW00026494,"FAIRBANKS 11 NE, AK US",20/02/2023,,13,6,
USW00026494,"FAIRBANKS 11 NE, AK US",21/02/2023,,15,8,
USW00026494,"FAIRBANKS 11 NE, AK US",22/02/2023,,22,7,
USW00026494,"FAIRBANKS 11 NE, AK US",23/02/2023,,24,17,
USW00026494,"FAIRBANKS 11 NE, AK US",24/02/2023,,24,19,
USW00026494,"FAIRBANKS 11 NE, AK US",25/02/2023,,19,7,
USW00026494,"FAIRBANKS 11 NE, AK US",26/02/2023,,10,-16,
USW00026494,"FAIRBANKS 11 NE, AK US",27/02/2023,,-5,-17,
USW00026494,"FAIRBANKS 11 NE, AK US",28/02/2023,,14,-12,
USW00026494,"FAIRBANKS 11 NE, AK US",01/03/2023,,15,4,
USW00026494,"FAIRBANKS 11 NE, AK US",02/03/2023,,6,0,
USW00026494,"FAIRBANKS 11 NE, AK US",03/03/2023,,0,-16,
USW00026494,"FAIRBANKS 11 NE, AK US",04/03/2023,,-1,-19,
USW00026494,"FAIRBANKS 11 NE, AK US",05/03/2023,,21,-4,
USW00026494,"FAIRBANKS 11 NE, AK US",06/03/2023,,28,15,
USW00026494,"FAIRBANKS 11 NE, AK US",07/03/2023,,40,24,
